iter	Passed	Remaining
587	2291	1605
588	2293	1600
589	2296	1595
590	2299	1591
591	2303	1587
592	2306	1583
593	2309	1578
594	2312	1573
595	2315	1569
596	2318	1565
597	2321	1560
598	2324	1555
599	2327	1551
600	2330	1546
601	2333	1542
602	2336	1538
603	2339	1533
604	2342	1529
605	2345	1524
606	2347	1520
607	2351	1516
608	2354	1511
609	2357	1507
610	2360	1502
611	2362	1498
612	2366	1493
613	2369	1489
614	2372	1485
615	2375	1480
616	2378	1476
617	2380	1471
618	2384	1467
619	2387	1463
620	2390	1458
621	2393	1454
622	2396	1450
623	2399	1446
624	2402	1441
625	2405	1437
626	2408	1432
627	2411	1428
628	2414	1424
629	2417	1419
630	2420	1415
631	2423	1410
632	2425	1406
633	2428	1401
634	2432	1397
635	2435	1393
636	2438	1389
637	2440	1384
638	2443	1380
639	2446	1376
640	2450	1372
641	2453	1367
642	2455	1363
643	2458	1359
644	2461	1354
645	2465	1350
646	2467	1346
647	2470	1342
648	2473	1337
649	2476	1333
650	2480	1329
651	2483	1325
652	2486	1321
653	2488	1316
654	2491	1312
655	2495	1308
656	2498	1304
657	2501	1300
658	2504	1295
659	2507	1291
660	2509	1287
661	2513	1283
662	2516	1279
663	2519	1274
664	2521	1270
665	2524	1266
666	2528	1262
667	2530	1257
668	2533	1253
669	2536	1249
670	2539	1245
671	2542	1240
672	2545	1236
673	2548	1232
674	2551	1228
675	2553	1224
676	2556	1219
677	2560	1215
678	2562	1211
679	2565	1207
680	2568	1203
681	2570	1198
682	2574	1194
683	2577	1190
684	2580	1186
685	2583	1182
686	2585	1178
687	2588	1173
688	2591	1169
689	2594	1165
690	2597	1161
691	2600	1157
692	2602	1152
693	2605	1148
694	2608	1144
695	2611	1140
696	2614	1136
697	2617	1132
698	2619	1128
699	2622	1124
700	2626	1120
701	2629	1116
702	2631	1111
703	2634	1107
704	2637	1103
705	2641	1099
706	2643	1095
707	2646	1091
708	2649	1087
709	2651	1083
710	2655	1079
711	2658	1075
712	2661	1071
713	2664	1067
714	2666	1062
715	2669	1058
716	2673	1055
717	2686	1055
718	2700	1055
719	2706	1052
720	2713	1049
721	2716	1046
722	2720	1042
723	2724	1038
724	2727	1034
725	2730	1030
726	2733	1026
727	2736	1022
728	2739	1018
729	2742	1014
730	2745	1010
731	2748	1006
732	2751	1002
733	2754	998
734	2757	994
735	2760	990
736	2762	985
737	2765	981
738	2768	977
739	2771	973
740	2774	969
741	2777	965
742	2780	961
743	2782	957
744	2786	953
745	2789	949
746	2792	945
747	2794	941
748	2797	937
749	2800	933
750	2804	929
751	2806	925
752	2809	921
753	2813	917
754	2816	913
755	2820	910
756	2822	906
757	2825	902
758	2828	898
759	2831	894
760	2834	890
761	2837	886
762	2840	882
763	2842	878
764	2845	874
765	2848	870
766	2852	866
767	2854	862
768	2857	858
769	2860	854
770	2862	850
771	2866	846
772	2869	842
773	2871	838
774	2874	834
775	2877	830
776	2880	826
777	2883	822
778	2886	818
779	2889	815
780	2893	811
781	2897	807
782	2900	803
783	2903	799
784	2906	795
785	2909	792
786	2911	788
787	2915	784
788	2918	780
789	2921	776
790	2925	773
791	2929	769
792	2932	765
793	2935	761
794	2938	757
795	2940	753
796	2943	749
797	2947	746
798	2950	742
799	2953	738
800	2956	734
801	2958	730
802	2962	726
803	2965	722
804	2967	718
805	2970	715
806	2973	711
807	2976	707
808	2980	703
809	2982	699
810	2985	695
811	2988	691
812	2990	687
813	2994	684
814	2997	680
815	3000	676
816	3003	672
817	3006	668
818	3009	665
819	3012	661
820	3015	657
821	3018	653
822	3021	649
823	3023	645
824	3027	642
825	3030	638
826	3032	634
827	3035	630
828	3038	626
829	3041	623
830	3044	619
831	3047	615
832	3050	611
833	3053	607
834	3056	603
835	3059	600
836	3062	596
837	3065	592
838	3068	588
839	3071	584
840	3074	581
841	3077	577
842	3080	573
843	3083	569
844	3085	565
845	3088	562
846	3092	558
847	3094	554
848	3097	550
849	3100	547
850	3103	543
851	3106	539
852	3109	535
853	3112	532
854	3115	528
855	3118	524
856	3120	520
857	3124	517
858	3127	513
859	3130	509
860	3133	505
861	3136	502
862	3139	498
863	3143	494
864	3146	491
865	3148	487
866	3151	483
867	3154	479
868	3158	476
869	3161	472
870	3163	468
871	3167	464
872	3170	461
873	3173	457
874	3176	453
875	3179	450
876	3182	446
877	3185	442
878	3189	438
879	3191	435
880	3194	431
881	3197	427
882	3200	424
883	3203	420
884	3206	416
885	3209	412
886	3212	409
887	3215	405
888	3218	401
889	3222	398
